,Executed Trade Price,Price of Stock,Qty,Basing Open,Basing High,Time
0,0.79,187.64,50.0,187.435,187.63,09:56:40
1,0.82,187.67,10.0,187.435,187.63,09:57:02
2,0.85,187.73,10.0,187.435,187.63,09:57:05
3,0.87,187.77,10.0,187.435,187.63,09:58:38
4,0.96,187.88,10.0,187.435,187.63,09:59:27
5,0.91,187.94,10.0,187.37,187.925,10:00:20
6,0.94,188.17,50.0,188.13,188.165,11:22:20
7,0.99,188.19,10.0,188.13,188.165,11:22:21
8,0.99,188.19,10.0,188.13,188.165,11:22:21
9,0.96,188.12,0.0,188.13,188.165,11:22:57
10,0.96,188.18,50.0,188.13,188.165,11:23:28
11,1.0,188.2,10.0,188.13,188.165,11:23:54
12,1.02,188.2,10.0,188.13,188.165,11:23:54
13,1.08,188.32,10.0,188.13,188.165,11:24:26
14,1.18,188.45,10.0,188.075,188.365,11:25:39
15,1.15,188.46,10.0,188.075,188.365,11:25:53
