,Executed Trade Price,Price of Stock,Qty,Basing Open,Basing High,Time
0,0.08,40.15,50.0,40.115,40.145,11:10:31
1,0.09,40.18,10.0,40.115,40.145,11:10:37
2,0.09,40.18,10.0,40.115,40.145,11:10:37
3,0.09,40.19,10.0,40.115,40.145,11:10:37
4,0.1,40.285,10.0,40.115,40.145,11:11:35
5,0.09,40.28,10.0,40.115,40.145,11:12:03
6,0.09,40.28,50.0,40.115,40.145,11:12:03
7,0.1,40.285,10.0,40.115,40.145,11:12:10
8,0.1,40.285,10.0,40.115,40.145,11:12:10
9,0.1,40.285,10.0,40.115,40.145,11:12:10
10,0.07,40.3003,0.0,40.305,40.435,11:22:43
