,date,open,high,low,close,open_close,open_high,high1,high2,high_high,rally,rally2,base,rbr,onWatch,Symbol,bar1,bar2,bar3,bar4,bar5,bar,basing_percent
0,08:30,385.965,386.345,385.565,385.585,-0.0009845452307851632,0.0009845452307853104,,,False,False,False,False,False,False,SPY,0,0,0,0,0,0,
1,08:35,385.585,386.575,385.405,386.185,0.0015560771295564475,0.0025675272637680647,386.345,,False,True,False,False,False,False,SPY,0,0,0,0,0,0,1.5805034455506877
2,08:40,386.185,386.465,385.915,385.945,-0.0006214638062068933,0.0007250411072412774,386.575,386.345,False,False,False,True,False,True,SPY,0,0,0,0,0,0,0.39937853619379304
3,08:45,385.945,386.555,385.735,386.16,0.0005570741945096629,0.001580536086748147,386.465,386.575,False,False,False,False,False,False,SPY,0,0,0,0,0,0,0.8963904075279417
4,08:50,386.16,386.165,385.825,385.825,-0.0008675160555211217,1.2948000828660276e-05,386.555,386.465,False,False,False,False,False,False,SPY,0,0,0,0,0,0,1.5572720188281381
0,08:30,309.945,310.615,309.265,310.095,0.00048395683105078034,0.002161673845359712,,,False,False,False,False,False,False,QQQ,0,0,0,0,0,0,
1,08:35,310.095,311.815,309.88,311.575,0.004772730937293285,0.005546687305503057,310.615,,False,True,False,False,False,False,QQQ,1,0,0,0,0,1,9.861893935726872
2,08:40,311.575,312.075,311.295,311.345,-0.0007381850276818146,0.0016047500601781273,311.815,310.615,True,False,True,True,False,True,QQQ,0,0,0,0,0,0,0.15466722037770156
3,08:45,311.345,311.965,310.925,311.185,-0.000513899372079285,0.0019913600668067504,312.075,311.815,False,False,False,True,False,False,QQQ,0,0,0,0,0,0,0.6961660732853483
4,08:50,311.185,311.19,310.815,310.815,-0.001189003325995805,1.6067612513442012e-05,311.965,312.075,False,False,False,False,False,False,QQQ,0,0,0,0,0,0,2.313689003325663
0,08:30,119.565,119.94,119.005,119.885,0.002676368502488248,0.0031363693388533434,,,False,True,False,False,False,False,AAPL,0,0,0,0,0,0,
1,08:35,119.885,120.745,119.805,120.645,0.0063394085999081695,0.007173541310422483,119.94,,False,True,False,False,True,False,AAPL,1,0,0,0,0,1,2.3686605914000087
2,08:40,120.645,120.805,120.315,120.495,-0.00124331717021005,0.0013262049815575515,120.745,119.94,True,False,True,True,True,True,AAPL,0,0,0,0,0,0,0.19612510388241267
3,08:45,120.495,120.865,120.315,120.58,0.0007054234615543694,0.0030706668326485774,120.805,120.745,True,False,True,False,True,False,AAPL,0,0,0,0,0,0,0.5673720901282115
4,08:50,120.58,120.58,120.355,120.355,-0.0018659810913915602,0.0,120.865,120.805,False,False,False,False,False,False,AAPL,0,0,0,0,0,0,2.6451928424381483
0,08:30,235.365,235.715,234.61,235.51,0.0006160644105962306,0.0014870520255772705,,,False,False,False,False,False,False,MSFT,0,0,0,0,0,0,
1,08:35,235.51,236.805,235.415,236.245,0.0031208865865568923,0.0054987049382192515,235.715,,False,True,False,False,False,False,MSFT,1,0,0,0,0,1,5.065844630655553
2,08:40,236.245,236.295,235.52,235.53,-0.003026519079768898,0.00021164469089285677,236.805,235.715,False,False,False,False,False,False,MSFT,0,0,0,0,0,0,0.9697625965664761
3,08:45,235.53,236.165,235.205,235.78,0.0010614359104997241,0.0026960472126692603,236.295,236.805,False,True,False,False,False,False,MSFT,0,0,0,0,0,0,0.35071178556084776
4,08:50,235.78,235.78,235.525,235.525,-0.0010815166680803946,0.0,236.165,236.295,False,False,False,False,False,False,MSFT,0,0,0,0,0,0,1.0189184833319014
0,08:30,35.24,36.64005,35.17,35.925,0.019438138479000996,0.039729001135073785,,,False,True,False,False,False,False,NIO,0,0,0,0,0,0,
1,08:35,35.925,37.195,35.69495,37.015,0.03034098816979829,0.03535142658315945,36.64005,,False,True,False,False,False,False,NIO,1,0,0,0,0,1,1.5608998877426268
2,08:40,37.015,37.48505,36.865,37.235,0.005943536404160445,0.012698905848980157,37.195,36.64005,True,True,True,False,False,False,NIO,1,1,0,0,0,2,0.19589132598115896
3,08:45,37.235,37.365,36.815,36.995,-0.006445548543037518,0.003491338794145362,37.48505,37.195,False,False,False,False,False,False,NIO,0,0,0,0,0,0,1.084463542366068
4,08:50,36.995,37.005,36.955,36.955,-0.0010812271928638776,0.00027030679821611343,37.365,37.48505,False,False,False,False,False,False,NIO,0,0,0,0,0,0,0.1677478938595256
0,08:30,75.98,76.355,75.34,75.88,-0.0013161358252172745,0.004935509344564359,,,False,False,False,False,False,False,AMD,0,0,0,0,0,0,
1,08:35,75.88,76.5,75.77,76.135,0.003360569319979042,0.008170795993674283,76.355,,False,True,False,False,False,False,AMD,0,0,0,0,0,0,2.5533605693198584
2,08:40,76.135,76.545,76.035,76.3,0.002167202994680397,0.005385171077690898,76.5,76.355,True,True,True,False,False,False,AMD,1,0,0,0,0,1,0.6448916205346756
3,08:45,76.3,76.715,76.055,76.235,-0.0008519003931847671,0.005439056356487631,76.545,76.5,True,False,True,True,False,True,AMD,0,0,0,0,0,0,0.3930874935462144
4,08:50,76.235,76.265,75.975,75.995,-0.003148160293828227,0.0003935200367285517,76.715,76.545,False,False,False,False,False,False,AMD,0,0,0,0,0,0,3.6954558526015706
0,08:30,500.25,503.2,495.795,501.765,0.003028485757121412,0.0058970514742628455,,,False,True,False,False,False,False,NVDA,0,0,0,0,0,0,
1,08:35,501.765,505.245,501.31,503.83,0.0041154723824898065,0.006935517622791583,503.2,,False,True,False,False,False,False,NVDA,1,0,0,0,0,1,1.358920831247884
2,08:40,503.83,506.315,503.5,504.35,0.0010320941587440976,0.004932219200920972,505.245,503.2,True,True,True,False,False,False,NVDA,1,1,0,0,0,2,0.25078388647081484
3,08:45,504.35,506.995,503.825,505.28,0.0018439575691483097,0.005244373946663987,506.315,505.245,True,True,True,False,False,False,NVDA,1,1,1,0,0,3,1.786617580892161
4,08:50,505.28,505.28,504.145,504.18,-0.002177010766307722,0.0,506.995,506.315,False,False,False,False,False,False,NVDA,0,0,0,0,0,0,1.1806186881584502
0,08:30,233.865,236.76,231.74,235.06,0.005109785560045296,0.012378936565967467,,,False,True,False,False,False,False,BA,0,0,0,0,0,0,
1,08:35,235.06,236.28,233.47,235.18,0.0005105079554156579,0.005190164213392321,236.76,,False,False,False,False,False,False,BA,0,0,0,0,0,0,0.09990790208642973
2,08:40,235.18,236.66,234.94,236.58,0.005952887150267904,0.006293052130283144,236.28,236.76,False,True,False,False,False,False,BA,1,1,0,0,0,2,11.660713779516003
3,08:45,236.58,237.82,235.31,236.855,0.001162397497675109,0.005241355989517206,236.66,236.28,True,True,True,False,False,False,BA,1,1,1,0,0,3,0.1952661739308793
4,08:50,236.855,236.855,236.06,236.205,-0.0027442950328258947,0.0,237.82,236.66,False,False,False,False,False,False,BA,0,0,0,0,0,0,2.36089206860365
0,08:30,21.695,22.075,21.035,21.18,-0.02373818852270111,0.017515556579857063,,,False,False,False,False,False,False,CCIV,0,0,0,0,0,0,
1,08:35,21.18,22.17,21.105,21.675,0.02337110481586407,0.04674220963172814,22.075,,False,True,False,False,False,False,CCIV,0,0,0,0,0,0,0.9845361533595544
2,08:40,21.675,22.165,21.64,22.03,0.016378316032295292,0.022606689734717345,22.17,22.075,False,True,False,False,False,False,CCIV,1,0,0,0,0,1,0.7007934011394213
3,08:45,22.03,22.37,21.92,22.25,0.009986382206082563,0.015433499773036761,22.165,22.17,True,True,True,False,False,False,CCIV,1,1,0,0,0,2,0.6097319276530684
4,08:50,22.25,22.25,22.15,22.18,-0.0031460674157303497,0.0,22.37,22.165,False,False,False,True,False,True,CCIV,0,0,0,0,0,0,0.31503575076609075
0,08:30,224.9,226.65,224.375,226.15,0.005558025789239662,0.007781236104935527,,,False,True,False,False,False,False,BABA,0,0,0,0,0,0,
1,08:35,226.15,227.475,225.835,226.41,0.0011496794163165637,0.00585894317930572,226.65,,False,True,False,False,False,False,BABA,1,0,0,0,0,1,0.20685032058367617
2,08:40,226.41,227.36,226.325,226.995,0.002583808135683088,0.004195927741707597,227.475,226.65,False,True,False,False,False,False,BABA,1,1,0,0,0,2,2.2474161918644264
3,08:45,226.995,226.995,226.28,226.65,-0.001519857265578532,0.0,227.36,227.475,False,False,False,True,False,True,BABA,0,0,0,0,0,0,0.5882237324780013
4,08:50,226.65,226.655,226.395,226.465,-0.0008162364879770672,2.206044562098148e-05,226.995,227.36,False,False,False,False,False,False,BABA,0,0,0,0,0,0,0.5370481205459565
0,08:30,127.125,129.105,126.015,128.09,0.007590953785644078,0.015575221238937972,,,False,True,False,False,False,False,NKE,0,0,0,0,0,0,
1,08:35,128.09,128.55,127.495,127.85,-0.0018736825669451876,0.003591224919978202,129.105,,False,False,False,True,False,True,NKE,0,0,0,0,0,0,0.2468309806454986
2,08:40,127.85,128.3,127.115,127.215,-0.004966757919436769,0.003519749706687658,128.55,129.105,False,False,False,False,False,False,NKE,0,0,0,0,0,0,2.650800091252632
3,08:45,127.215,128.195,126.875,127.435,0.0017293558149589188,0.007703494084816962,128.3,128.55,False,True,False,False,False,False,NKE,0,0,0,0,0,0,0.3481860487283479
4,08:50,127.435,127.465,127.245,127.325,-0.0008631851532153602,0.00023541413269510838,128.195,128.3,False,False,False,True,False,True,NKE,0,0,0,0,0,0,0.4991368148467846
0,08:30,181.74,182.925,181.035,182.22,0.0026411356883459325,0.006520303730604172,,,False,True,False,False,False,False,DIS,0,0,0,0,0,0,
1,08:35,182.22,183.43,181.645,183.235,0.0055701898803644755,0.0066403248820108,182.925,,False,True,False,False,False,False,DIS,1,0,0,0,0,1,2.1090131434530446
2,08:40,183.235,183.67,183.025,183.595,0.0019646901519905324,0.002374000600321848,183.43,182.925,True,True,True,False,False,False,DIS,1,1,0,0,0,2,0.3527151128036548
3,08:45,183.595,183.985,183.1,183.61,8.170157139363696e-05,0.0021242408562325487,183.67,183.43,True,False,True,False,False,False,DIS,0,0,0,0,0,0,0.04158496509531579
4,08:50,183.61,183.61,183.31,183.435,-0.0009531071292413886,0.0,183.985,183.67,False,False,False,False,False,False,DIS,0,0,0,0,0,0,11.665713559526688
0,08:30,280.875,282.45,279.68,281.37,0.0017623497997329934,0.005607476635513978,,,False,True,False,False,False,False,FB,0,0,0,0,0,0,
1,08:35,281.37,285.51,280.945,284.545,0.011284074350499383,0.014713722145217992,282.45,,False,True,False,False,False,False,FB,1,0,0,0,0,1,6.402857339790879
2,08:40,284.545,286.405,284.435,285.195,0.002284348697042567,0.006536751656152653,285.51,282.45,True,True,True,False,False,False,FB,1,1,0,0,0,2,0.20244006075176846
3,08:45,285.195,286.145,284.695,285.775,0.002033696242921454,0.0033310541909920884,286.405,285.51,False,True,False,False,False,False,FB,1,1,1,0,0,3,0.8902739960647774
4,08:50,285.775,285.875,285.64,285.78,1.7496282040050575e-05,0.0003499256408014093,286.145,286.405,False,False,False,False,False,False,FB,0,0,0,0,0,0,0.00860319337312476
0,08:30,26.32,26.53,26.04,26.16,-0.0060790273556231055,0.007978723404255351,,,False,False,False,False,False,False,OXY,0,0,0,0,0,0,
1,08:35,26.16,26.275,26.065,26.125,-0.0013379204892966414,0.004396024464831744,26.53,,False,False,False,False,False,False,OXY,0,0,0,0,0,0,0.22008792048929732
2,08:40,26.125,26.425,26.075,26.305,0.006889952153110037,0.011483253588516774,26.275,26.53,False,True,False,False,False,False,OXY,0,0,0,0,0,0,5.149747095010224
3,08:45,26.305,26.325,26.105,26.125,-0.006842805550275602,0.0007603117278083852,26.425,26.275,False,False,False,False,False,False,OXY,0,0,0,0,0,0,0.9931571944497244
4,08:50,26.125,26.125,26.055,26.06,-0.0024880382775120105,0.0,26.325,26.425,False,False,False,False,False,False,OXY,0,0,0,0,0,0,0.36359914938863075
