,date,open,high,low,close,open_close,open_high,high1,high2,high_high,rally,rally2,base,rbr,onWatch,Symbol,bar1,bar2,bar3,bar4,bar5,bar,basing_percent
2,08:40,330.705,331.155,330.445,331.085,0.0011490603407870927,0.0013607293509320653,330.965,330.885,True,True,True,False,True,False,QQQ,1,0,0,0,0,1,1.0692734748705843
3,08:45,331.085,331.245,330.715,330.785,-0.0009061117235753795,0.0004832595859070179,331.155,330.965,True,False,True,True,True,True,QQQ,0,0,0,0,0,0,0.7885675724868406
4,08:50,330.785,331.305,330.525,331.265,0.0014510936106533286,0.0015720180782078442,331.245,331.155,True,True,True,False,True,False,QQQ,0,0,0,0,0,0,1.6014510936107669
36,11:30,331.865,332.175,331.845,332.105,0.0007231856327121242,0.0009341147755864652,332.255,332.345,False,True,False,False,True,False,QQQ,0,0,0,0,0,0,0.727995912905502
37,11:35,332.105,332.135,331.885,331.955,-0.00045166438325238735,9.033287665037477e-05,332.175,332.255,False,False,False,True,True,True,QQQ,0,0,0,0,0,0,0.624548335616866
38,11:40,331.955,332.185,331.895,332.165,0.0006326158666085355,0.000692864996761664,332.135,332.175,True,False,True,False,True,False,QQQ,0,0,0,0,0,0,1.4006326158665328
16,09:50,126.345,126.625,126.345,126.595,0.00197870909018956,0.0022161541810123164,126.425,126.295,True,True,True,False,True,False,AAPL,1,1,0,0,0,2,3.5694498623387294
17,09:55,126.595,126.665,126.525,126.565,-0.00023697618389352767,0.0005529444290849353,126.625,126.425,True,False,True,True,True,True,AAPL,0,0,0,0,0,0,0.11976302381611102
18,10:00,126.565,126.725,126.535,126.665,0.0007901078497215544,0.0012641725595543523,126.665,126.625,True,True,True,False,True,False,AAPL,0,0,0,0,0,0,3.334123441183213
54,13:00,126.185,126.305,126.135,126.295,0.0008717359432579105,0.0009509846653723069,126.205,126.185,True,True,True,False,True,False,AAPL,1,1,0,0,0,2,5.499128264057808
55,13:05,126.295,126.325,126.215,126.275,-0.00015835939665066726,0.00023753909497605715,126.305,126.205,True,False,True,True,True,True,AAPL,0,0,0,0,0,0,0.18165982242149592
56,13:10,126.275,126.385,126.245,126.305,0.00023757671748169578,0.0008711146307661804,126.325,126.305,True,False,True,False,True,False,AAPL,0,0,0,0,0,0,1.5002375767178369
4,08:50,247.965,248.32,247.59,248.29,0.0013106688443933162,0.0014316536607988618,248.475,248.245,False,True,False,False,True,False,MSFT,0,0,0,0,0,0,1.3554773355109613
5,08:55,248.29,248.445,248.09,248.28,-4.027548431266223e-05,0.0006242700068468369,248.32,248.475,False,False,False,True,True,True,MSFT,0,0,0,0,0,0,0.030728955284891196
6,09:00,248.28,248.99,248.23,248.75,0.0018930240051554651,0.0028596745609795714,248.445,248.32,True,True,True,False,True,False,MSFT,0,0,0,0,0,0,47.00189302404779
14,09:40,247.605,247.96,247.58,247.88,0.0011106399305345438,0.0014337351830537276,247.775,248.3,False,True,False,False,True,False,MSFT,0,0,0,0,0,0,3.6677773065964434
15,09:45,247.88,248.025,247.655,247.845,-0.00014119735355815955,0.000584960464741045,247.96,247.775,True,False,True,True,True,True,MSFT,0,0,0,0,0,0,0.12713152991915408
16,09:50,247.845,248.37,247.79,248.335,0.0019770421029272696,0.0021182593959934866,248.025,247.96,True,True,True,False,True,False,MSFT,0,0,0,0,0,0,14.001977042104553
0,08:30,38.84,38.995,38.43,38.93,0.0023171987641605637,0.003990731204943203,,,False,True,False,False,True,False,NIO,0,0,0,0,0,0,
1,08:35,38.93,39.065,38.77,38.88,-0.0012843565373747022,0.003467762650911842,38.995,,False,False,False,True,True,True,NIO,0,0,0,0,0,0,0.5542711990181721
2,08:40,38.88,39.155,38.695,39.01,0.0033436213991768376,0.0070730452674896745,39.065,38.995,True,True,True,False,True,False,NIO,0,0,0,0,0,0,2.6033436213992336
3,08:45,39.01,39.135,38.835,38.935,-0.0019225839528324979,0.0032043065880543453,39.155,39.065,False,False,False,True,True,True,NIO,0,0,0,0,0,0,0.5750004929702318
4,08:50,38.935,39.31,38.895,39.275,0.008732502889431008,0.009631437010401952,39.135,39.155,True,True,True,False,True,False,NIO,0,0,0,0,0,0,4.542065836222973
13,09:35,40.07,40.245,39.975,40.235,0.0041177938607436775,0.004367357125031125,40.085,39.865,True,True,True,False,True,False,NIO,1,0,0,0,0,1,0.5748295745602985
14,09:40,40.235,40.335,40.115,40.125,-0.0027339381135826875,0.002485398285075219,40.245,40.085,True,False,True,True,True,True,NIO,0,0,0,0,0,0,0.6639327285530839
15,09:45,40.125,40.385,40.04,40.33,0.00510903426791273,0.00647975077881615,40.335,40.245,True,True,True,False,True,False,NIO,0,0,0,0,0,0,1.8687453979042705
54,13:00,81.475,81.545,81.415,81.545,0.0008591592513041718,0.0008591592513041718,81.485,81.435,True,True,True,False,True,False,AMD,1,1,0,0,0,2,1.3991408407489232
55,13:05,81.545,81.575,81.475,81.525,-0.0002452633515236498,0.0003678950272855618,81.545,81.485,True,False,True,True,True,True,AMD,0,0,0,0,0,0,0.2854690223626751
56,13:10,81.525,81.615,81.485,81.495,-0.00036798528058879036,0.0011039558417661969,81.575,81.545,True,False,True,False,True,False,AMD,0,0,0,0,0,0,1.500367985280944
14,09:40,557.515,558.425,557.48,558.315,0.0014349389702520438,0.0016322430786615035,557.65,558.19,True,True,True,False,True,False,NVDA,1,0,0,0,0,1,2.9076559701211453
15,09:45,558.315,558.88,557.645,558.205,-0.00019702139473238875,0.0010119735274888564,558.425,557.65,True,False,True,True,True,True,NVDA,0,0,0,0,0,0,0.13730297860527294
16,09:50,558.205,559.37,558.03,559.105,0.0016123108893685604,0.0020870468734604016,558.88,558.425,True,True,True,False,True,False,NVDA,0,0,0,0,0,0,8.18343049270633
34,11:20,557.755,558.73,557.675,558.435,0.0012191732929331875,0.0017480793538381955,558.575,559.435,False,True,False,False,True,False,NVDA,0,0,0,0,0,0,1.0979933668412316
35,11:25,558.435,558.805,557.96,558.22,-0.00038500452156458345,0.0006625659208323343,558.73,558.575,True,False,True,True,True,True,NVDA,0,0,0,0,0,0,0.3157914660665736
36,11:30,558.22,559.33,558.08,559.035,0.0014599978503098076,0.001988463329869968,558.805,558.73,True,True,True,False,True,False,NVDA,0,0,0,0,0,0,3.7921576722700827
25,10:35,255.62,256.175,255.605,256.065,0.0017408653469994256,0.002171191612549905,255.625,255.655,True,True,True,False,True,False,BA,1,1,0,0,0,2,4.942703579097182
26,10:40,256.065,256.3,255.815,256.055,-3.905258430473085e-05,0.0009177357311620629,256.175,255.625,True,False,True,True,True,True,BA,0,0,0,0,0,0,0.022432857528034728
27,10:45,256.055,256.36,256.01,256.035,-7.810821893726664e-05,0.0011911503387944263,256.3,256.175,True,False,True,False,True,False,BA,0,0,0,0,0,0,2.000078108218937
52,12:50,254.84,255.18,254.755,255.13,0.0011379689216763147,0.0013341704598964189,255.15,255.23,False,True,False,False,True,False,BA,0,0,0,0,0,0,2.0011379689214803
53,12:55,255.13,255.15,254.85,254.995,-0.0005291420060361028,7.839140830169024e-05,255.18,255.15,False,False,False,True,True,True,BA,0,0,0,0,0,0,0.4649880993732557
54,13:00,254.995,255.495,254.99,255.42,0.0016666993470459536,0.0019608227612306125,255.15,255.18,True,True,True,False,True,False,BA,0,0,0,0,0,0,3.1498148474952794
55,13:05,255.42,255.425,255.16,255.215,-0.0008025996398088799,1.957560097104328e-05,255.495,255.15,False,False,False,True,True,True,BA,0,0,0,0,0,0,0.4815503415366436
56,13:10,255.215,255.555,255.21,255.43,0.0008424269733362201,0.0013322100973688984,255.425,255.495,True,True,True,False,True,False,BA,0,0,0,0,0,0,1.0496229147783123
63,13:45,255.125,255.465,254.99,255.445,0.0012542871141596988,0.0013326800587947218,255.14,255.14,True,True,True,False,True,False,BA,1,1,0,0,0,2,3.198745712885954
64,13:50,255.445,255.59,255.25,255.31,-0.000528489498717888,0.0005676368689933655,255.465,255.14,True,False,True,True,True,True,BA,0,0,0,0,0,0,0.42134651050126265
65,13:55,255.31,255.72,255.3,255.675,0.0014296345619051706,0.0016058908777564396,255.59,255.465,True,True,True,False,True,False,BA,0,0,0,0,0,0,2.7051333382658584
72,14:30,255.12,255.41,255.115,255.305,0.0007251489495139631,0.0011367199749137348,255.23,255.845,False,True,False,False,True,False,BA,1,0,0,0,0,1,2.3117748510501532
73,14:35,255.305,255.625,255.235,255.265,-0.00015667534909234235,0.0012534027927380707,255.41,255.23,True,False,True,True,True,True,BA,0,0,0,0,0,0,0.21605954086723184
74,14:40,255.265,255.705,255.245,255.33,0.0002546373376687997,0.001723698901142053,255.625,255.41,True,False,True,False,True,False,BA,0,0,0,0,0,0,1.6252546373374912
2,08:40,23.13,23.22,23.02,23.215,0.0036748811067877584,0.0038910505836575815,23.255,23.255,False,True,False,False,True,False,CCIV,0,0,0,0,0,0,1.5491294265613567
3,08:45,23.215,23.235,23.145,23.18,-0.0015076459185871265,0.0008615119534783361,23.22,23.255,False,False,False,True,True,True,CCIV,0,0,0,0,0,0,0.4102570599637634
4,08:50,23.18,23.26,23.16,23.225,0.0019413287316653023,0.003451251078516042,23.235,23.22,True,True,True,False,True,False,CCIV,0,0,0,0,0,0,1.2876556144459947
3,08:45,227.48,228.18,227.45,227.87,0.0017144364339722823,0.0030771935994373884,227.54,227.465,True,True,True,False,True,False,BABA,1,1,1,0,0,3,1.498285563566137
4,08:50,227.87,228.14,227.315,227.585,-0.0012507131259051063,0.0011848861192784563,228.18,227.54,False,False,False,True,True,True,BABA,0,0,0,0,0,0,0.7295185176432892
5,08:55,227.585,228.265,227.585,228.215,0.002768196498011712,0.0029878946327744726,228.14,228.18,True,True,True,False,True,False,BABA,0,0,0,0,0,0,2.213294512287496
25,10:35,137.295,137.645,137.29,137.565,0.001966568338249829,0.0025492552532868844,137.3,137.19,True,True,True,False,True,False,NKE,1,1,0,0,0,2,2.5694620030906696
26,10:40,137.565,137.58,137.44,137.445,-0.0008723149056809839,0.00010903936321022628,137.645,137.3,False,False,False,True,True,True,NKE,0,0,0,0,0,0,0.44357212953876346
27,10:45,137.445,137.675,137.445,137.625,0.001309614754992956,0.0016733966313799572,137.58,137.645,True,True,True,False,True,False,NKE,0,0,0,0,0,0,1.501309614754993
44,12:10,137.265,137.395,137.19,137.395,0.0009470731796162452,0.0009470731796162452,137.295,137.21,True,True,True,False,True,False,NKE,1,0,0,0,0,1,1.443497371265495
45,12:15,137.395,137.41,137.295,137.295,-0.0007278285236000053,0.00010917427853987668,137.395,137.295,True,False,True,True,True,True,NKE,0,0,0,0,0,0,0.7685029407072028
46,12:20,137.295,137.47,137.25,137.345,0.00036417932189818547,0.0012746276266434422,137.41,137.395,True,False,True,False,True,False,NKE,0,0,0,0,0,0,0.5003641793218983
12,09:30,189.945,190.47,189.925,190.415,0.0024744004843507274,0.0027639579878386148,189.945,190.08,True,True,True,False,True,False,DIS,1,0,0,0,0,1,3.6129102149003827
13,09:35,190.415,190.58,190.135,190.34,-0.0003938765328361139,0.0008665283722396895,190.47,189.945,True,False,True,True,True,True,DIS,0,0,0,0,0,0,0.15918059155224645
14,09:40,190.34,190.675,189.995,190.15,-0.0009982137228117984,0.001760008406010339,190.58,190.47,True,False,True,False,True,False,DIS,0,0,0,0,0,0,2.5343315470564987
25,10:35,189.22,189.66,189.21,189.64,0.0022196385160130404,0.0023253355882041945,189.49,189.48,True,True,True,False,True,False,DIS,0,0,0,0,0,0,4.002219638516284
26,10:40,189.64,189.745,189.56,189.595,-0.0002372917106095101,0.0005536806580891067,189.66,189.49,True,False,True,True,True,True,DIS,0,0,0,0,0,0,0.10690556543222104
27,10:45,189.595,189.95,189.57,189.915,0.0016878082227906495,0.0018724122471583627,189.745,189.66,True,True,True,False,True,False,DIS,0,0,0,0,0,0,7.112798919335726
63,13:45,190.36,190.565,190.3,190.545,0.0009718428241225775,0.0010769069132169787,190.445,190.235,True,True,True,False,True,False,DIS,1,1,0,0,0,2,1.1552781571755333
64,13:50,190.545,190.585,190.435,190.54,-2.6240520611905077e-05,0.00020992416489553893,190.565,190.445,True,False,True,True,True,True,DIS,0,0,0,0,0,0,0.02700078650639436
65,13:55,190.54,190.715,190.495,190.585,0.00023617088275436086,0.0009184423218222493,190.585,190.565,True,False,True,False,True,False,DIS,0,0,0,0,0,0,9.000236170894123
49,12:35,306.26,306.95,306.195,306.94,0.0022203356625090016,0.0022529876575458686,306.495,306.66,True,True,True,False,True,False,FB,0,0,0,0,0,0,4.535553668994857
50,12:40,306.94,307.02,306.795,306.815,-0.00040724571577507006,0.00026063725809599296,306.95,306.495,True,False,True,True,True,True,FB,0,0,0,0,0,0,0.1834162836959878
51,12:45,306.815,307.365,306.785,307.105,0.0009451949872073415,0.0017926111826345236,307.02,306.95,True,True,True,False,True,False,FB,0,0,0,0,0,0,2.320945194987371
52,12:50,25.405,25.445,25.385,25.425,0.0007872466049989992,0.0015744932099979983,25.455,25.475,False,True,False,False,True,False,OXY,0,0,0,0,0,0,2.0007872466053542
53,12:55,25.425,25.455,25.365,25.415,-0.0003933136676500123,0.0011799410029497575,25.445,25.455,False,False,False,True,True,True,OXY,0,0,0,0,0,0,0.4996066863324388
54,13:00,25.415,25.465,25.405,25.445,0.0011804052724769284,0.001967342120794834,25.455,25.445,True,True,True,False,True,False,OXY,0,0,0,0,0,0,3.0011804052721214
55,13:05,25.445,25.455,25.375,25.435,-0.0003930045195520363,0.00039300451955189664,25.465,25.455,False,False,False,True,True,True,OXY,0,0,0,0,0,0,0.3329403288138208
56,13:10,25.435,25.495,25.435,25.495,0.002358954196972765,0.002358954196972765,25.455,25.465,True,True,True,False,True,False,OXY,0,0,0,0,0,0,6.002358954196262
70,14:20,25.385,25.445,25.375,25.425,0.0015757337010044966,0.0023636005515067448,25.385,25.345,True,True,True,False,True,False,OXY,1,1,0,0,0,2,0.9984242662989067
71,14:25,25.425,25.445,25.405,25.415,-0.0003933136676500123,0.0007866273352998849,25.445,25.385,False,False,False,True,True,True,OXY,0,0,0,0,0,0,0.2496066863323944
