,Symbol,date,Count
0,AAPL,04/01/2021,2.0
1,AMD,03/31/2021,1.0
2,AMD,04/01/2021,1.0
3,BA,03/31/2021,4.0
4,BA,04/01/2021,4.0
5,BABA,03/31/2021,2.0
6,BABA,04/01/2021,1.0
7,CCIV,04/01/2021,5.0
8,DIS,03/31/2021,2.0
9,DIS,04/01/2021,4.0
10,FB,03/31/2021,2.0
11,FB,04/01/2021,2.0
12,MSFT,03/31/2021,2.0
13,MSFT,04/01/2021,5.0
14,NFLX,03/31/2021,1.0
15,NFLX,04/01/2021,6.0
16,NIO,03/31/2021,2.0
17,NIO,04/01/2021,3.0
18,NKE,03/31/2021,2.0
19,NVDA,03/31/2021,6.0
20,NVDA,04/01/2021,2.0
21,OXY,03/31/2021,2.0
22,OXY,04/01/2021,3.0
23,QQQ,03/31/2021,2.0
24,QQQ,04/01/2021,3.0
25,SPY,03/31/2021,2.0
26,SPY,04/01/2021,1.0
27,TSLA,03/31/2021,1.0
28,TSLA,04/01/2021,1.0
29,TWTR,03/31/2021,2.0
