,date,open,high,low,close,rbr,onWatch,Symbol,bar
1,08:35,390.035,390.815,389.975,390.715,True,False,SPY,1
2,08:40,390.715,390.795,390.115,390.635,True,True,SPY,0
3,08:45,390.635,391.105,390.565,391.075,True,False,SPY,0
4,08:50,391.075,391.445,391.005,391.435,True,False,SPY,1
5,08:55,391.435,391.485,391.245,391.3,True,True,SPY,0
6,09:00,391.3,391.635,391.025,391.255,True,False,SPY,0
4,08:50,316.49,317.355,316.455,317.325,True,False,QQQ,1
5,08:55,317.325,317.475,317.045,317.15,True,True,QQQ,0
6,09:00,317.15,317.595,316.755,316.955,True,False,QQQ,0
22,10:20,318.555,318.995,318.525,318.955,True,False,QQQ,0
23,10:25,318.955,318.995,318.695,318.785,True,True,QQQ,0
24,10:30,318.785,319.155,318.775,319.095,True,False,QQQ,0
25,10:35,319.095,319.235,318.955,319.085,True,True,QQQ,0
26,10:40,319.085,319.245,318.905,318.985,True,False,QQQ,0
32,11:10,319.465,319.725,319.455,319.725,True,False,QQQ,2
33,11:15,319.725,319.815,319.635,319.705,True,True,QQQ,0
34,11:20,319.705,319.935,319.705,319.895,True,False,QQQ,0
16,09:50,122.545,122.685,122.495,122.645,True,False,AAPL,1
17,09:55,122.645,122.645,122.515,122.575,True,True,AAPL,0
18,10:00,122.575,122.755,122.575,122.605,True,False,AAPL,0
16,09:50,234.72,235.125,234.685,235.12,True,False,MSFT,4
17,09:55,235.12,235.145,234.83,234.97,True,True,MSFT,0
18,10:00,234.97,235.225,234.81,235.11,True,False,MSFT,0
74,14:40,236.105,236.345,236.085,236.32,True,False,MSFT,0
75,14:45,236.32,236.365,235.92,236.16,True,True,MSFT,0
76,14:50,236.16,236.37,235.72,236.135,True,False,MSFT,0
32,11:10,43.465,43.555,43.455,43.535,True,False,NIO,2
33,11:15,43.535,43.58505,43.42495,43.475,True,True,NIO,0
34,11:20,43.475,43.74505,43.455,43.725,True,False,NIO,0
47,12:25,43.595,43.83505,43.585,43.795,True,False,NIO,2
48,12:30,43.795,43.82505,43.695,43.735,True,True,NIO,0
49,12:35,43.735,43.90505,43.725,43.885,True,False,NIO,0
32,11:10,80.695,80.815,80.655,80.765,True,False,AMD,2
33,11:15,80.765,80.805,80.705,80.755,True,True,AMD,0
34,11:20,80.755,80.905,80.735,80.855,True,False,AMD,0
35,11:25,80.855,80.915,80.735,80.805,True,True,AMD,0
36,11:30,80.805,80.985,80.745,80.885,True,False,AMD,0
4,08:50,518.49,520.675,518.31,520.31,True,False,NVDA,1
5,08:55,520.31,520.58,518.795,519.425,True,True,NVDA,0
6,09:00,519.425,521.14,519.045,520.255,True,False,NVDA,0
7,09:05,520.255,522.41,519.925,521.68,True,False,NVDA,1
8,09:10,521.68,522.7,520.485,521.54,True,True,NVDA,0
9,09:15,521.54,523.28,521.12,523.13,True,False,NVDA,0
16,09:50,525.865,527.315,525.865,527.25,True,False,NVDA,5
17,09:55,527.25,527.255,525.915,527.165,True,True,NVDA,0
18,10:00,527.165,528.0,525.995,527.995,True,False,NVDA,0
22,10:20,528.62,529.57,528.405,529.395,True,False,NVDA,0
23,10:25,529.395,529.56,528.8,529.185,True,True,NVDA,0
24,10:30,529.185,530.05,529.115,529.71,True,False,NVDA,0
32,11:10,532.295,533.195,532.125,532.915,True,False,NVDA,2
33,11:15,532.915,533.805,532.665,532.725,True,True,NVDA,0
34,11:20,532.725,534.42,532.72,534.005,True,False,NVDA,0
48,12:30,253.17,253.95,253.145,253.75,True,False,BA,5
49,12:35,253.75,253.935,253.435,253.515,True,True,BA,0
50,12:40,253.515,254.47,253.405,254.235,True,False,BA,0
31,11:05,26.57,26.69,26.54,26.69,True,False,CCIV,1
32,11:10,26.69,26.705,26.61,26.67,True,True,CCIV,0
33,11:15,26.67,26.755,26.625,26.69,True,False,CCIV,0
20,10:10,236.165,236.625,236.14,236.45,True,False,BABA,1
21,10:15,236.45,236.53,236.255,236.315,True,True,BABA,0
22,10:20,236.315,236.98,236.29,236.845,True,False,BABA,0
36,11:30,137.5,138.135,137.5,138.12,True,False,NKE,3
37,11:35,138.12,138.12,137.81,137.845,True,True,NKE,0
38,11:40,137.845,138.17,137.79,138.105,True,False,NKE,0
46,12:20,138.475,138.625,138.355,138.59,True,False,NKE,0
47,12:25,138.59,138.665,138.515,138.58,True,True,NKE,0
48,12:30,138.58,138.8,138.58,138.67,True,False,NKE,0
22,10:20,293.75,294.465,293.635,294.36,True,False,FB,0
23,10:25,294.36,294.47,293.64,294.0,True,True,FB,0
24,10:30,294.0,294.59,293.93,294.48,True,False,FB,0
25,10:35,294.48,295.61,294.45,295.38,True,False,FB,1
26,10:40,295.38,295.86,295.18,295.31,True,True,FB,0
27,10:45,295.31,296.295,295.005,296.26,True,False,FB,0
48,12:30,297.585,298.335,297.46,298.29,True,False,FB,0
49,12:35,298.29,298.31,297.655,298.17,True,True,FB,0
50,12:40,298.17,298.42,297.595,297.96,True,False,FB,0
68,14:10,27.655,27.695,27.655,27.695,True,False,OXY,2
69,14:15,27.695,27.715,27.655,27.665,True,True,OXY,0
70,14:20,27.665,27.755,27.665,27.745,True,False,OXY,0
21,10:15,192.285,194.14,192.195,194.045,True,False,GME,0
22,10:20,194.045,194.51,193.36,193.38,True,True,GME,0
23,10:25,193.38,196.3,192.895,195.39,True,False,GME,0
62,13:40,193.49,194.325,193.335,194.045,True,False,GME,0
63,13:45,194.045,195.015,193.7,193.78,True,True,GME,0
64,13:50,193.78,196.205,193.76,196.14,True,False,GME,0
32,11:10,693.375,697.685,693.01,697.485,True,False,TSLA,3
33,11:15,697.485,697.755,695.23,696.13,True,True,TSLA,0
34,11:20,696.13,698.775,694.62,698.085,True,False,TSLA,0
64,13:50,690.39,691.995,689.74,691.385,True,False,TSLA,1
65,13:55,691.385,691.915,690.11,691.33,True,True,TSLA,0
66,14:00,691.33,693.225,691.275,692.44,True,False,TSLA,0
